T,X,V
405,211.83041905276866,0.0
406,211.22052921885597,0.0
407,210.583085343758,0.0
408,209.94460444090217,0.0
409,209.4325973231604,0.0
410,208.94918032814255,0.0
411,208.55857267156694,0.0
412,208.2791072915246,0.0
413,208.08478558578145,0.0
414,207.95271873960198,0.0
415,207.85483478208909,0.0
416,207.81102148580624,0.0
417,207.78046669088542,0.0
418,207.74835698464355,0.0
419,207.698950962148,0.0
420,207.71728386491935,0.0
421,207.78253988807725,0.0
422,207.8641642175489,0.0
423,207.95034461321342,0.0
424,208.00493359801303,0.0
425,208.0314506418456,0.0
426,208.05744938470616,0.0
427,208.09411513179242,0.0
428,208.10685534602544,0.0
429,208.10685534602544,0.0
430,208.1201138649714,0.0
431,208.14000164340263,0.0
432,208.15274185562347,0.0
433,208.15118693502416,0.0
434,208.14455767699002,0.0
435,208.1506686269762,0.0
436,208.131299159075,0.0
437,208.09659794340303,0.0
438,208.06852598525467,0.0
439,208.06645274662,0.0
440,208.10000852472754,0.0
441,208.17033874160046,0.0
442,208.17541303237184,0.0
443,208.29422128407916,0.0
444,208.3360701039205,0.0
445,208.327994806773,0.0
446,208.3295497616593,0.0
447,208.2846999183542,0.0
448,208.2393317506073,0.0
449,208.21892566620625,0.0
450,208.23114755120392,0.0
451,208.21125978168197,0.0
452,208.2377768080497,0.0
453,208.24492438059642,0.0
454,208.2674037169068,0.0
455,208.29495736897576,0.0
456,208.30106831480134,0.0
457,208.36528762432945,0.0
458,208.43509952809376,0.0
459,208.52479915474945,0.0
460,208.55846374674312,0.0
461,208.77008150914088,0.0
462,208.8838154485931,0.0
463,208.98832847114937,0.0
464,209.0255122946912,0.0
465,209.18968850087452,0.0
466,209.6919561897004,0.0
467,210.6624173096593,1.128062086455671
468,211.94808036261173,1.2713672525363933
469,213.2051518147321,1.2573300794364002
470,214.46274052148453,1.2017582868350019
471,215.6086683884021,1.181610371804041
472,216.82596126509262,1.2419943785847067
473,218.0926571455715,1.2215870676007228
474,219.26913540029406,1.2759154167778775
475,220.64448797912726,1.4778446472847833
476,222.22482469486363,1.5449124143663227
477,223.7343128078599,1.300409536861622
478,224.82564376858687,0.0
479,225.61503158174995,0.0
480,226.4900789776419,0.0
481,227.36771898402932,0.0
482,228.04596565563156,0.0
483,228.55081714232952,0.0
484,229.01589363281292,0.0
485,229.40753082978398,0.0
486,229.70687889111457,0.0
487,229.92615868047454,0.0
488,230.05822237215438,0.0
489,230.23824611481405,0.0
490,230.41164071717185,0.0
491,230.57748327836327,0.0
492,230.67236593149846,0.0
493,230.84016890122302,0.0
494,230.89683305774898,0.0
495,230.95857010341723,0.0
496,230.99327192379283,0.0
497,231.03252790798092,0.0
498,231.03708206235456,0.0
499,231.05800690608882,0.0
500,231.0932274718013,0.0
501,231.1141523118304,0.0
502,231.1319647082753,0.0
503,231.12222312081659,0.0
504,231.1538124692149,0.0
505,231.1189959387801,0.0
506,231.04647964523136,0.0
507,231.08366049060245,0.0
508,231.08262295133582,0.0
509,231.0576628062864,0.0
510,231.0719585693389,0.0
511,231.09495850232682,0.0
512,231.0516672637719,0.0
513,231.06907554656377,0.0
514,231.0233050791186,0.0
515,230.9336098351416,0.0
516,230.8597664265628,0.0
517,230.8995411675304,0.0
518,230.9260576596997,0.0
519,231.0642317646093,0.0
520,231.2595886973411,0.0
521,231.9241714104993,0.0
522,233.07412092594424,1.3618784875690153
523,234.64792838563733,1.8481358584885044
524,236.77039264292125,2.3376481097674287
525,239.3232246051722,2.7603472175351698
526,242.2910870779916,3.0662558205761172
527,245.45573624632442,3.1032258366770265
528,248.49753875134564,3.0068963741397283
529,251.46952899460388,2.961783621380377
530,254.4211059941064,2.8381631366233364
531,257.14585526785055,2.6954360118603944
532,259.8119780178272,2.8451018621135233
533,262.8360589920776,3.0518303992011795
534,265.91563881622955,3.1093438469399928
535,269.0547466859576,3.06566606455587
536,272.0469709453413,3.003398913741478
537,275.06154451344054,3.059670952367327
538,278.16631285007594,3.1666965546407653
539,281.39493762272207,3.1223633087591907
540,284.4110394675943,2.9709960488863203
541,287.3369297204947,2.930241020026557
542,290.27152150764744,2.964157444713976
543,293.26524460992266,3.027643357513057
544,296.32680822267355,3.0350452022946968
545,299.33533501451205,3.044720881382659
546,302.41624998543887,3.0798703307154085
547,305.49507567594287,3.033202142950813
548,308.4826542713405,2.9674290072283895
549,311.42993369039965,2.92947310674262
550,314.34160048482573,2.904775174295139
551,317.23948403898993,2.9503887707030287
552,320.2423780262318,3.0169295275121897
553,323.2733430940143,3.0069809113200563
554,326.2563398488719,2.9659015548961634
555,329.20514620380663,2.9827278036745213
556,332.22179545622095,3.0393251512983
557,335.28379650640323,3.10839761707183
558,338.4385906903646,3.128016530819025
559,341.5398295680413,3.057368804925801
560,344.5533283002162,2.9604681489024074
561,347.4607658658461,2.909966856227527
562,350.37326201267126,2.939789362248831
563,353.34034459034376,2.9747515391294144
564,356.3227650909301,2.985993100962048
565,359.31233079226786,3.045566549928566
566,362.4138981907872,3.095795994811965
567,365.5039227818918,3.067788671285541
568,368.5494755333583,3.04040893042054
569,371.58474064273287,3.052615794927931
570,374.65470712321417,3.0376050067290805
571,377.65995065619103,2.95038683210538
572,380.5554807874249,3.018492259733648
573,383.6969351756583,3.044819576263535
574,386.645119939952,2.93928491251134
575,389.575505000681,2.937011493764089
576,392.5191429274802,2.975030578003839
577,395.5255661566887,2.9781619501824252
578,398.475466827845,2.9137053564924713
579,401.3529768696736,2.9363792437097516
580,404.34822531526453,2.9914104097304914
581,407.3357976891346,2.839398308577046
582,410.0270219324186,2.8041637679022813
583,412.94412522493917,2.8334650692941636
584,415.69395207100695,2.638452987047941
585,418.22103119903505,2.340181837361712
586,420.37431574573037,1.8879876871410204
587,421.9970065733171,1.4131177234094991
588,423.20055119254937,0.0
589,423.92354485404564,0.0
590,424.3119923090494,0.0
591,424.5092685884851,0.0
592,424.6775874161429,0.0
593,424.8340487817911,0.0
594,424.9817901402633,0.0
595,425.0266184514761,0.0
596,425.0520852069182,0.0
597,425.3196562262609,0.0
598,425.6107723589232,0.0
599,425.7531015594888,0.0
600,425.827227610494,0.0
601,425.83891506372635,0.0
602,425.8450202668853,0.0
603,425.7688022619096,0.0
604,425.92561546051854,0.0
605,426.1884787228788,0.0
606,426.1890017407848,0.0
607,426.03009697466234,0.0
608,426.4384049000979,0.0
609,426.62782403874536,0.0
610,426.52351185746033,0.0
611,426.43646939988656,0.0
612,426.4130940732301,0.0
613,426.3408763534862,0.0
614,426.2684893112272,0.0
615,426.221046344725,0.0
616,426.2083128691974,0.0
617,426.24040799324285,0.0
618,426.18581397306394,0.0
619,426.3696647949693,0.0
620,426.5781059334506,0.0
621,427.2527932816332,0.0
622,427.60966815409483,0.0
623,427.82072339587637,0.0
624,427.90828795824234,0.0
625,427.9210213018346,0.0
626,427.79979298861,0.0
627,427.69426537715935,0.0
628,427.5662384734677,0.0
629,427.41692850046496,0.0
630,427.35273867603934,0.0
631,427.2798288814376,0.0
632,427.29168646288565,0.0
633,427.19836922054014,0.0
634,427.39965876536604,0.0
635,427.5500146973465,0.0
636,427.5801880093432,0.0
637,427.67053769625414,0.0
638,427.6839640381898,0.0
639,427.5838352363469,0.0
640,427.5431899508576,0.0
641,427.4322490328465,0.0
642,427.3335184195459,0.0
643,427.2119347470123,0.0
644,427.1805309748552,0.0
645,427.1623833028648,0.0
646,427.0992382962018,0.0
647,427.2522093273183,0.0
648,427.36035147732315,0.0
649,427.3266877563357,0.0
650,427.26877061094206,0.0
651,427.7587335268191,0.0
652,427.8250153686697,0.0
653,427.8602474748194,0.0
654,427.91850086382277,0.0
655,428.6284254604368,0.0
656,428.79047013924867,0.0
657,428.78837879724375,0.0
658,428.6640119146818,0.0
659,428.38964242605766,0.0
660,428.35754718824205,0.0
661,428.4808684253949,0.0
662,428.26945807677254,0.0
663,428.24921909972153,0.0
664,428.2192150051872,0.0
665,427.6634930871818,0.0
666,426.96736551373664,0.0
667,426.8128260836834,0.0
668,426.93562487226427,0.0
669,426.8876591919055,0.0
670,426.50148787720224,0.0
671,426.4611959691144,0.0
672,426.4763752476519,0.0
673,426.4223041593903,0.0
674,426.369278695996,0.0
675,425.49926696819205,0.0
676,425.0890278253769,0.0
677,424.90065546770586,0.0
678,424.89141291364274,0.0
679,424.85408898956206,0.0
680,424.7578036671255,0.0
681,424.5669859819059,0.0
682,424.4300699702816,0.0
683,424.3596050294281,0.0
684,424.34634868896507,0.0
685,424.36309574312867,0.0
686,424.59123768849923,0.0
687,424.74873030452767,0.0
688,424.93047443122185,0.0
689,425.01507215923243,0.0
690,425.0853677804874,0.0
691,425.1703034391674,0.0
692,425.15320180343576,0.0
693,425.1348857421949,0.0
694,425.1394226109317,0.0
695,425.1675038234873,0.0
696,425.20710424178804,0.0
697,425.2395534438321,0.0
698,425.2556088585884,0.0
699,425.2880575641218,0.0
700,425.32172131665794,0.0
701,425.3416058351851,0.0
702,425.3669032562214,0.0
703,425.3867877678558,0.0
704,425.451500753616,0.0
705,425.4795821534357,0.0
706,425.54743257124846,0.0
707,425.64407083120005,0.0
708,425.5495377877234,0.0
709,425.4724444519599,0.0
710,425.44802355232144,0.0
711,425.4893613591025,0.0
712,425.6030860499315,0.0
713,425.74087870659446,0.0
714,425.8333199807242,0.0
715,425.853727404387,0.0
716,425.901170418848,0.0
717,426.09930898421686,0.0
718,426.08413052849403,0.0
719,425.96133257064105,0.0
720,425.9991793483789,0.0
721,425.94615395380623,0.0
722,425.7921373199533,0.0
723,425.6299238840053,0.0
724,425.49020934486487,0.0
725,425.44590360690336,0.0
726,425.3817133167177,0.0
727,425.2958847749513,0.0
728,425.3195977103106,0.0
729,425.36808626156153,0.0
730,425.3792513525061,0.0
731,425.41797480224267,0.0
732,425.4362908733049,0.0
733,425.470477432735,0.0
734,425.5571666188367,0.0
735,425.61472893492254,0.0
736,425.6356591375363,0.0
737,425.63618196652186,0.0
738,425.8454838532426,0.0
739,426.0675190746205,0.0
740,426.2485712653777,0.0
741,426.4240408658288,0.0
742,426.4317146462153,0.0
743,426.46485557179255,0.0
744,426.41898107020273,0.0
745,426.46991535978896,0.0
746,426.5131758302708,0.0
747,426.56114153319817,0.0
748,426.6520131421205,0.0
749,426.9307330866784,0.0
750,427.06591072668505,0.0
751,427.10829372860513,0.0
752,427.1231184217221,0.0
753,427.15835044124987,0.0
754,427.0010098237992,0.0
755,426.8496069020151,0.0
756,426.7294213486519,0.0
757,426.634535698992,0.0
758,426.6191883692205,0.0
759,426.5152282018525,0.0
760,426.2748776365775,0.0
761,426.2312612646933,0.0
762,426.2652804155741,0.0
763,426.2295257620018,0.0
764,425.813724965974,0.0
765,425.7190255586667,0.0
766,425.58386474131464,0.0
767,425.69340663241684,0.0
768,425.68625559599286,0.0
769,425.76527085340376,0.0
770,425.7923064199854,0.0
771,425.976495773599,0.0
772,425.8749816943854,0.0
773,425.8612024828064,0.0
774,425.7663165757482,0.0
775,425.8659081652108,0.0
776,425.9656682894637,0.0
777,426.06490506128137,0.0
778,426.0394379316005,0.0
779,426.02164457944536,0.0
780,425.9567443034591,0.0
781,425.9014403616855,0.0
782,425.7594466836656,0.0
783,425.72385930015764,0.0
784,425.67762899240194,0.0
785,425.672213089226,0.0
786,425.63296657664887,0.0
787,425.6097565190831,0.0
788,425.5848117149822,0.0
789,425.54817848514915,0.0
790,425.5453751439456,0.0
791,425.52914900487724,0.0
792,425.5444959661808,0.0
793,425.54100354277864,0.0
794,425.56245605540033,0.0
795,425.59053677140406,0.0
796,425.6194968002079,0.0
797,425.593506593128,0.0
798,425.6154817378797,0.0
799,425.66798479009657,0.0
800,425.8042073818918,0.0
801,425.8246146385363,0.0
802,425.73828193422617,0.0
803,425.60467248281196,0.0
804,425.58775760458167,0.0
805,425.58357645147555,0.0
806,425.581675682882,0.0
807,425.46255732065066,0.0
808,425.53843681753256,0.0
809,425.57611518510964,0.0
810,425.58571259818086,0.0
811,425.7958911430186,0.0
812,425.8825804262605,0.0
813,425.98654072296495,0.0
814,426.0931145886681,0.0
815,426.3113223376889,0.0
816,426.60279554577386,0.0
817,426.87666202935134,0.0
818,427.1226142042822,0.0
819,427.8028713029927,0.0
820,429.0723447376529,1.4573299337044716
821,430.7175311704016,1.9138873649069978
822,432.9001194674669,2.409251282711523
823,435.5360337358247,2.80989884690149
824,438.51991716126986,3.0093483441136186
825,441.5547304240519,3.017281289826485
826,444.55447974092283,3.015272064699616
827,447.58527455345114,3.0109090772106697
828,450.57629789534417,2.920380401715363
829,453.42603535688187,2.7388026394023086
830,456.0539031741488,2.4897232512730056
831,458.4054818594279,2.2924483945213296
832,460.63879996319145,2.045637565816264
833,462.4967569910604,1.6535328106187137
834,463.9458655844289,1.260208157473727
835,465.01717330600786,0.0
836,465.61160633658534,0.0
837,465.9719628086705,0.0
838,466.2723198221312,0.0
839,466.46715113701686,0.0
840,466.6277951954061,0.0
841,466.7420427518753,0.0
842,466.5562864322725,0.0
843,466.3347719712126,0.0
844,466.2639566986056,0.0
845,466.315934533882,0.0
846,466.36023748090906,0.0
847,466.2623865109612,0.0
848,466.17535071039254,0.0
849,466.15006098462396,0.0
850,466.13732819230455,0.0
851,466.1699452296245,0.0
852,466.26360928764836,0.0
853,466.6911179271953,0.0
854,466.86780592804917,0.0
855,466.81669853457197,0.0
856,466.8233266086998,0.0
857,466.84617483004405,0.0
858,466.5015150568499,0.0
859,466.49331667387526,0.0
860,466.68500733305785,0.0
861,466.6926822888122,0.0
862,466.67733237479035,0.0
863,466.8023884897714,0.0
864,466.8655283204089,0.0
865,466.8777374971765,0.0
866,466.8676222241799,0.0
867,466.87477376606194,0.0
868,466.87215638774063,0.0
869,466.8864594770876,0.0
870,466.84826149456666,0.0
871,466.8079696134253,0.0
872,466.793666530084,0.0
873,466.7682012050479,0.0
874,466.73854808471657,0.0
875,466.686393314347,0.0
876,466.63371495580117,0.0
877,466.6276103871064,0.0
878,466.6215058172791,0.0
879,466.29463663210856,0.0
880,466.0994590510192,0.0
881,465.9227721784672,0.0
882,465.9967278721817,0.0
883,466.0227166873012,0.0
884,466.18074341402337,0.0
885,466.200627620308,0.0
886,466.0691131737079,0.0
887,466.1298127286837,0.0
888,466.17010460961677,0.0
889,466.00422585862816,0.0
890,466.006843214583,0.0
891,466.0237636144848,0.0
892,466.0014390037911,0.0
893,465.9923704710402,0.0
894,465.90551182649455,0.0
895,465.79702189462813,0.0
896,465.71103311641235,0.0
897,465.6121353429976,0.0
898,465.6524272118892,0.0
899,465.5903335731903,0.0
900,465.60306634229863,0.0
901,465.65504419144094,0.0
902,465.7426032975194,0.0
903,465.7426032975194,0.0
904,466.1514504152577,0.0
905,466.511460166669,0.0
906,466.82559679290847,0.0
907,466.943508231517,0.0
908,466.9360095574655,0.0
909,466.8917066135898,0.0
910,466.6960046178707,0.0
911,466.5725120706549,0.0
912,466.51582367039975,0.0
913,466.53256749150785,0.0
914,466.5453002399005,0.0
915,466.46681012298615,0.0
916,466.4291352593617,0.0
917,466.40419313661727,0.0
918,466.37209953124903,0.0
919,466.37157613828725,0.0
920,466.33390123169784,0.0
921,466.30738891428337,0.0
922,466.3272731526027,0.0
923,466.32012168343385,0.0
924,466.30076083503036,0.0
925,466.3089590767842,0.0
926,466.2829701439232,0.0
927,466.20046876440654,0.0
928,466.1381991451664,0.0
929,466.08465112046923,0.0
930,465.99203375359184,0.0
931,465.90447420310056,0.0
932,465.89383480349454,0.0
933,465.9725005555214,0.0
934,465.9679658333486,0.0
935,466.13994801784173,0.0
936,466.2416377601867,0.0
937,466.35344363759333,0.0
